timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
384406782,0.99779236,-0.001327972,-0.06236441,-0.02279251,1.166641,0.0105052795,9.248763,-2.2999952,-8.331633,-1.5946213
384423449,0.9977384,-0.0014227065,-0.06317789,-0.022902904,1.1820486,-0.06266559,9.280687,0.5623717,-5.87873,-0.8719717
384440116,0.99772024,-0.00119406,-0.06343946,-0.022985913,1.1709545,-0.027633881,9.256863,2.7059753,-2.026784,-0.8130752
384456783,0.9977246,-0.0006575873,-0.06337543,-0.022998516,1.2183416,0.001203924,9.247193,4.796343,0.26429105,-0.45956865
384473450,0.9977614,-0.00010662335,-0.0629168,-0.022672614,1.1661322,-0.026875755,9.340287,4.9804606,2.986063,1.8638043
384490117,0.99780875,0.00041408927,-0.06237,-0.022083452,1.0988319,-0.07855722,9.44289,4.872708,3.5900624,3.6844454
384506784,0.99784714,0.00070528104,-0.061917607,-0.021610143,1.0683441,-0.19082126,9.525283,3.2629235,2.902284,2.9866521
384523451,0.9978724,0.0010157442,-0.061597344,-0.021345608,1.0895096,-0.22981973,9.53815,3.3267374,1.9907534,1.5430946
384540118,0.9978853,0.0012114855,-0.061447266,-0.021164754,1.08852,-0.19597825,9.463408,2.5304,0.79939157,1.0159854
384556785,0.997889,0.0014679227,-0.06138577,-0.02114944,1.0646384,-0.16612004,9.401349,2.890707,0.19430436,-0.14676078
384573452,0.997881,0.0020422922,-0.06146857,-0.021236002,1.1107506,-0.13540313,9.394695,5.0509596,-0.75647116,-0.98080003
384590119,0.99788207,0.002737702,-0.061395634,-0.021322727,1.1087904,-0.13191481,9.401548,5.8589377,0.33284348,-1.0356239
384606786,0.99788725,0.003475978,-0.061208777,-0.021503972,1.1012433,-0.14751835,9.382147,6.097034,1.1199859,-1.7041541
384623453,0.9979013,0.004051676,-0.060885936,-0.021667214,1.0832121,-0.16851655,9.43425,4.9697413,2.032387,-1.5146327
384640120,0.9979052,0.004840011,-0.0607355,-0.021756439,1.0510778,-0.17080548,9.354316,6.4866924,0.8781763,-1.0929325
384656787,0.99791646,0.0054933648,-0.060538433,-0.021627618,1.0401896,-0.2038564,9.379175,5.6455064,1.1872832,0.45755172
384673454,0.9979409,0.0061557586,-0.06029796,-0.02098702,1.0107827,-0.20130612,9.419307,5.9150934,1.5100416,3.9641867
384690121,0.9979934,0.0072486135,-0.059717685,-0.019763015,1.0750009,0.0006096214,9.426843,9.061604,3.9383318,7.777049
384706788,0.9980532,0.008733976,-0.059163846,-0.017702086,1.159586,0.31970236,9.3688135,12.101906,3.8539538,13.360312
384723455,0.99810153,0.010273573,-0.059118036,-0.013895531,1.1917937,0.41628367,9.4145,13.244858,0.47416285,25.346111
384740122,0.99809307,0.011511425,-0.059966005,-0.009050283,1.1133527,0.23362748,9.535897,11.683547,-5.638148,32.65624
384756789,0.99802715,0.012800339,-0.06135356,-0.003735314,1.0712653,0.21279043,9.446458,12.264661,-9.325812,35.89629
384773456,0.997968,0.013703985,-0.06220436,0.0017088898,1.1296512,0.17853555,9.441334,9.659834,-5.640445,36.893883
384790123,0.9979274,0.014777435,-0.062104188,0.008112492,1.2845701,0.26928395,9.507184,11.244661,0.9793148,43.317387
384806790,0.9978565,0.016605796,-0.0610196,0.016827602,1.3868246,0.48237932,9.54241,17.468384,7.912425,58.75643
384823457,0.9976497,0.019567277,-0.05930189,0.028206408,1.2462881,0.36850542,9.636678,26.44701,12.371807,76.50354
384840124,0.99720025,0.022185447,-0.058416273,0.04107497,1.0166092,0.37918836,9.678572,24.569933,6.8304586,87.02445
384856791,0.99653125,0.022800567,-0.059306365,0.053746216,1.0885842,0.7285186,9.10951,10.287278,-4.900815,86.80555
384873458,0.9956455,0.024172274,-0.06177465,0.0654952,1.0533977,0.24844883,9.454019,14.542255,-16.228659,80.50767
384890125,0.99464864,0.024318412,-0.06566481,0.07596784,1.1865041,0.2546588,9.287237,4.9876585,-25.673016,72.572685
